date,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max
2022-06-13,south,9.258577519379845,774,1.8,78.199
2022-06-14,north,4.79164921505868,13122,0.55,110.931
2022-06-14,south,4.652452112676056,710,0.852,18.555
2022-06-15,north,6.64026549507843,22249,1.249,141.641
2022-06-15,south,6.3474549180327875,1220,1.026,18.443
2022-06-16,south,4.815449864720833,12197,0.286,37.88
2022-06-17,north,5.248758064516129,62,2.009,9.352
2022-06-17,south,2.057415720690642,10483,0.286,45.829
2022-06-20,north,13.14095703125,256,5.168,32.692
2022-06-20,south,9.692737430167599,9308,3.02,103.12
2022-06-21,north,3.84475,36,1.696,6.923
2022-06-21,south,8.172264962923729,15104,1.348,341.188
2022-06-22,north,9.780742587601077,742,5.532,20.363
2022-06-22,south,7.492275327588845,19613,0.838,185.582
2022-06-23,north,6.9395215282589335,10103,1.797,307.801
2022-06-23,south,6.087223599320883,5890,1.565,92.694
2022-06-24,north,3.8951564514742545,11633,0.147,310.541
2022-06-24,south,2.783567017082786,4566,0.099,31.196
