date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-11-28,south,13232.768707482994,14403.0,1945217,147
2021-11-29,north,16768.743718592967,14763.0,3336980,199
2021-11-29,south,14556.034013605442,15553.0,2139737,147
2021-11-30,north,17097.638190954774,15459.0,3402430,199
2021-11-30,south,15251.299319727892,16623.0,2241941,147
2021-12-01,north,17489.899497487437,15902.0,3480490,199
2021-12-01,south,15683.374149659863,17010.0,2305456,147
2021-12-02,north,17840.603015075376,15970.0,3550280,199
2021-12-02,south,16321.77551020408,17337.0,2399301,147
2021-12-03,north,18436.597989949747,16617.0,3668883,199
2021-12-03,south,17268.736486486487,18550.0,2555773,148
2021-12-04,north,16202.386934673366,14516.0,3224275,199
2021-12-04,south,15218.513513513511,16320.0,2252340,148
2021-12-05,north,14257.693467336683,12891.0,2837281,199
2021-12-05,south,12926.027027027028,13931.0,1913052,148
2021-12-06,north,16966.1,15270.5,3393220,200
2021-12-06,south,15018.655405405403,16216.0,2222761,148
2021-12-07,north,14563.625,13498.0,2912725,200
2021-12-07,south,13218.331081081082,13926.0,1956313,148
2021-12-08,north,16331.255,14674.5,3266251,200
2021-12-08,south,14874.945945945949,16099.0,2201492,148
2021-12-09,north,18127.7,16151.0,3625540,200
2021-12-09,south,16442.83108108108,17797.5,2433539,148
2021-12-10,north,18559.77,16809.5,3711954,200
2021-12-10,south,16977.567567567567,18125.5,2512680,148
2021-12-11,north,16381.155,14779.5,3276231,200
2021-12-11,south,15373.554054054051,16055.5,2275286,148
2021-12-12,north,14607.06,12863.5,2921412,200
2021-12-12,south,12961.675675675677,13692.0,1918328,148
2021-12-13,north,16650.55,15406.0,3330110,200
2021-12-13,south,14454.398648648648,15887.0,2139251,148
2021-12-14,north,17958.355,16070.0,3591671,200
2021-12-14,south,15694.27027027027,16931.0,2322752,148
2021-12-15,north,18099.86069651741,16498.0,3638072,201
2021-12-15,south,16182.337837837838,17594.0,2394986,148
2021-12-16,north,18684.3216080402,17038.0,3718180,199
2021-12-16,south,16687.527027027027,17999.5,2469754,148
2021-12-17,north,19198.658291457286,17305.0,3820533,199
2021-12-17,south,17348.263513513513,18512.0,2567543,148
2021-12-18,north,17065.0351758794,15417.0,3395942,199
2021-12-18,south,15358.02027027027,16640.0,2272987,148
2021-12-19,north,15236.708542713568,13742.0,3032105,199
2021-12-19,south,13518.727891156464,14895.0,1987253,147
2021-12-20,north,18058.467336683418,16405.0,3593635,199
2021-12-20,south,15716.675675675677,17348.0,2326068,148
2021-12-21,north,18185.43216080402,16313.0,3618901,199
2021-12-21,south,15743.47972972973,17269.5,2330035,148
